data_set_id,primary_injection_structure_id,primary_injection_structure_acronym,secondary_injection_structure_id,secondary_injection_acronym,mouse_line_name,grid_file_url,projection_structure_unionizes_file_url
100140756,993,MOs,"{184,993}","{FRP,MOs}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100140756_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100140756_projection_structure_unionizes.csv
100140949,886,RSPv,"{886,879}","{RSPv,RSPd}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100140949_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100140949_projection_structure_unionizes.csv
100141214,726,DG,"{726,463}","{DG,CA3}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141214_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141214_projection_structure_unionizes.csv
100141219,385,VISp,{385},{VISp},C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141219_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141219_projection_structure_unionizes.csv
100141222,507,MOB,"{159,507}","{AON,MOB}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141222_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141222_projection_structure_unionizes.csv
100141223,733,VPM,"{725,718,629,733,741,1020}","{VPLpc,VPL,VAL,VPM,VPMpc,PO}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141223_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141223_projection_structure_unionizes.csv
100141273,985,MOp,"{985,337}","{MOp,SSp-ll}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141273_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141273_projection_structure_unionizes.csv
100141434,946,PH,"{946,685,414,366,194,797,181,636}","{PH,VM,SPFm,SMT,LHA,ZI,RE,MDm}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141434_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141434_projection_structure_unionizes.csv
100141435,258,LSr,"{564,258,672}","{MS,LSr,CP}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141435_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141435_projection_structure_unionizes.csv
100141454,993,MOs,"{993,39}","{MOs,ACAd}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141454_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141454_projection_structure_unionizes.csv
100141473,182305689,SSp-un,"{182305689,1011,329}","{SSp-un,AUDd,SSp-bfd}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141473_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141473_projection_structure_unionizes.csv
100141495,361,SSp-tr,"{337,361}","{SSp-ll,SSp-tr}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141495_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141495_projection_structure_unionizes.csv
100141563,985,MOp,"{337,985}","{SSp-ll,MOp}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141563_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141563_projection_structure_unionizes.csv
100141596,828,ICe,{828},{ICe},C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141596_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141596_projection_structure_unionizes.csv
100141597,564,MS,"{564,452,226,258,266}","{MS,MEPO,LPO,LSr,LSv}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141597_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141597_projection_structure_unionizes.csv
100141598,170,LGd,"{170,218}","{LGd,LP}",C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141598_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141598_projection_structure_unionizes.csv
100141599,394,VISam,{394},{VISam},C57BL/6J,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141599_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/01/100141599_projection_structure_unionizes.csv
